項番,名前,配布場所,経度,緯度,webページ,名前,写真
1,-,TOYAMAキラリ　１階総合案内,137.215113,36.68838144,https://toyama-glass-art-museum.jp/,あざみ,https://www.city.toyama.lg.jp/_res/projects/default_project/_page_/001/011/634/azami4.jpg
2,-,富山市まちなか観光案内所,137.2124362,36.69358203,https://www.toyamashi-kankoukyoukai.jp/?tid=101590,水橋橋まつりと東西橋,https://www.city.toyama.lg.jp/_res/projects/default_project/_page_/001/011/634/mizuhashi4.jpg
3,-,ダイニング＆カフェ呉音,137.164135,36.71597626,https://hitosara.com/0020000491/,舟橋と常夜灯,https://www.city.toyama.lg.jp/_res/projects/default_project/_page_/001/011/634/funahashi4.jpg
4,-,富山市民プラザ,137.2108698,36.69043763,https://www.siminplaza.co.jp/,富山城と路面電車,https://www.city.toyama.lg.jp/_res/projects/default_project/_page_/001/011/634/centrum.jpg
5,-,岩瀬カナル会館,137.2332931,36.76026809,http://canal.or.jp/,北前船廻船問屋森家,https://www.city.toyama.lg.jp/_res/projects/default_project/_page_/001/011/634/morike4.jpg
6,-,とやま自遊館,137.2154778,36.70694108,http://www.jiyukan.or.jp/,富山市限定ハローキティ,https://www.city.toyama.lg.jp/_res/projects/default_project/_page_/001/011/634/kitty4.jpg
7,-,道の駅「雨晴」,137.0410001,36.81473049,https://michinoeki-amaharashi.jp/,雨晴海岸,https://www.free-style.biz/cardcollector/wp-content/uploads/2019/03/takaokasi1.jpg
8,-,雲龍山勝興寺,137.0527804,36.79227916,https://www.shoukouji.jp/,勝興寺,https://www.free-style.biz/cardcollector/wp-content/uploads/2021/05/takaokasi1.jpg
9,-,氷見市観光協会（JR氷見駅構内）,136.9906336,36.84950481,https://www.kitokitohimi.com/,ひみ寒ぶり/越中式定置網,https://www.free-style.biz/cardcollector/wp-content/uploads/2018/03/himisi1.jpg
10,-,砺波市観光協会,136.9607055,36.64074677,http://www.tonami-kankou.org/,チューリ君、リップちゃん,https://www.free-style.biz/cardcollector/wp-content/uploads/2021/04/tonamisi1.jpg
11,-,道の駅メルヘンおやべ,136.876924,36.68944826,https://michinoeki-oyabe.com/,火牛と菖蒲・紅梅・宮島杉,https://www.free-style.biz/cardcollector/wp-content/uploads/2019/08/oyabesi1.jpg
12,-,道の駅 カモンパーク新湊,137.0847738,36.75205047,https://shinminato.co.jp/,カワラナデシコ/あじさい,https://www.free-style.biz/cardcollector/wp-content/uploads/2017/09/imizusi1-216x300.jpg
13,-,中新川広域行政事務組合　下水道課,137.3015231,36.70979237,https://www.union.nakaniikawa.toyama.jp/,舟橋村/さつき、上市町/りんどう、立山町/菊,https://www.free-style.biz/cardcollector/wp-content/uploads/2019/03/funabasi1.jpg
